Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
Destiny 2 Forsaken,Mostly Positive,"4 Sep, 2018",Bungie,Bungie,Single-player,Blood,None,None,None,569,None,"['Action', 'Adventure']",['windows'],['6 GB'],['105 GB'],[],None,2058,1033,1025,2058,1688,370
World of Tanks Blitz,Mostly Positive,"9 Nov, 2016",Wargaming Group Limited,Wargaming Group Limited,MMO,None,None,None,None,Free to Play,None,"['Action', 'Free to Play', 'Massively Multiplayer']","['windows', 'mac']","['2 GB', '2 GB']","['3 GB', '3 GB']",[],None,42377,747,41630,42377,32681,9696
PlanetSide 2,Very Positive,"20 Nov, 2012",Rogue Planet Games,Daybreak Game Company,MMO,None,None,None,None,Free to Play,None,"['Action', 'Free to Play', 'Massively Multiplayer']",['windows'],['6 GB'],[],['20 GB'],None,52820,663,52157,52820,43875,8945
Kingdom Come Deliverance,Mostly Positive,"13 Feb, 2018",Warhorse Studios,Warhorse Studios,Single-player,violence/bad_language,None,None,None,699,None,"['Action', 'Adventure', 'RPG']",['windows'],['8 GB'],['70 GB'],[],None,59517,40708,18809,59517,47502,12015
Far Cry 5,Mostly Positive,"27 Mar, 2018",Ubisoft Montreal,Ubisoft,Single-player,violence/bad_language,None,None,None,2999,None,"['Action', 'Adventure']",['windows'],['8 GB'],['40 GB'],[],None,57756,52055,5701,57756,43011,14745
The Walking Dead Saints  Sinners,Very Positive,"23 Jan, 2020",Skydance Interactive,Skydance Interactive,Single-player,None,None,None,None,899,None,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",['windows'],['8 GB'],['40 GB'],[],VR Support,2614,2193,421,2614,2352,262
NieRAutomata,Very Positive,"17 Mar, 2017",Square Enix,Square Enix,Single-player,violence/bad_language,None,None,None,1330,None,"['Action', 'RPG']",['windows'],['4 GB'],['50 GB'],[],None,65170,43665,21505,65170,54693,10477
Hades,Overwhelmingly Positive,"10 Dec, 2019",Supergiant Games,Supergiant Games,Single-player,None,None,None,None,569,None,"['Action', 'Indie', 'RPG', 'Early Access']",['windows'],[],['10 GB'],[],None,16387,15493,894,16387,16093,294
The Elder Scrolls V Skyrim Special Edition,Very Positive,"28 Oct, 2016",Bethesda Game Studios,Bethesda Softworks,Single-player,violence/bad_language,None,None,None,2670,Select a purchase option,['RPG'],['windows'],['8 GB'],['12 GB'],[],None,102153,34407,67746,102153,86843,15310
Overcooked 2,Very Positive,"7 Aug, 2018",Ghost Town Games Ltd.,Team17 Digital Ltd,Single-player,None,None,None,None,569,None,"['Action', 'Casual', 'Indie']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['3 GB', '3 GB', '3 GB']",[],None,16934,11974,4960,16934,14889,2045
X4 Foundations,Mostly Positive,"30 Nov, 2018",Egosoft,Egosoft,Single-player,None,None,None,None,1999,None,"['Action', 'Simulation']","['linux', 'windows']","['8 GB', '8 GB']","['12 GB', '12 GB']",[],None,7576,6479,1097,7576,5403,2173
Mega Man ZeroZX Legacy Collection,Mostly Positive,"25 Feb, 2020","CAPCOM CO., LTD.","CAPCOM CO., LTD.",Single-player,violence/bad_language,None,None,None,2497,None,"['Action', 'RPG']",['windows'],['2 GB'],['7 GB'],[],None,597,533,64,597,434,163
Total War THREE KINGDOMS,Very Positive,"23 May, 2019",CREATIVE ASSEMBLY,SEGA,Single-player,None,None,None,None,2699,None,"['Action', 'Strategy']","['linux', 'windows', 'mac']","['4 GB', '8 GB', '8 GB']","['60 GB', '52 GB', '60 GB']",[],None,55434,35481,19953,55434,46884,8550
X4 Split Vendetta,Very Positive,"1 Apr, 2020",Egosoft,Egosoft,Single-player,None,None,None,None,349,None,"['Action', 'Simulation']","['linux', 'windows']","['8 GB', '8 GB']","['12 GB', '12 GB']",[],None,87,74,13,87,73,14
Call of Duty Modern Warfare 2,Very Positive,"12 Nov, 2009",Infinity Ward,Activision,Single-player,None,None,None,None,1300,None,['Action'],['windows'],['1 GB'],[],['12GB of'],None,37893,17264,20629,37893,34873,3020
Yakuza Kiwami 2,Overwhelmingly Positive,"9 May, 2019",SEGA,SEGA,Single-player,violence/bad_language,None,None,None,1099,None,"['Action', 'Adventure', 'RPG']",['windows'],['4 GB'],['42 GB'],[],None,3363,2593,770,3363,3228,135
Borderlands 2,Overwhelmingly Positive,"21 Sep, 2012",Gearbox Software,2K,Single-player,violence/bad_language,None,None,None,999,None,"['Action', 'RPG']",['windows'],['2 GB(XP)/'],[],[],None,222604,149413,73191,222604,207732,14872
Garrys Mod,Overwhelmingly Positive,"29 Nov, 2006",Facepunch Studios,Valve,Single-player,None,None,None,None,369,None,"['Indie', 'Simulation']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['5 GB', '5 GB', '5 GB']",[],None,537821,446006,91815,537821,517890,19931
Disaster Report 4 Summer Memories,Mostly Positive,"7 Apr, 2020",Granzella Inc.,"NIS America, Inc.",Single-player,None,None,None,None,Play demo for free,None,"['Action', 'Adventure']",['windows'],['4 GB'],['27 GB'],[],None,99,93,6,99,79,20
Dead Cells The Bad Seed,Very Positive,"11 Feb, 2020",Motion Twin,Motion Twin,Single-player,violence/bad_language,None,None,None,199,None,"['Action', 'Indie']",['windows'],['2 GB'],['500 MB'],[],None,491,473,18,491,459,32
ONE PUNCH MAN A HERO NOBODY KNOWS,Mixed,"28 Feb, 2020",Spike Chunsoft Co. Ltd.,BANDAI NAMCO Entertainment,Single-player,violence/bad_language,None,None,None,1999,None,['Action'],['windows'],['8 GB'],['8 GB'],[],None,395,337,58,395,186,209
Terraria,Overwhelmingly Positive,"16 May, 2011",Re-Logic,Re-Logic,Single-player,None,None,None,None,369,None,"['Action', 'Adventure', 'Indie', 'RPG']","['linux', 'windows', 'mac']",[],[],[],None,455302,351912,103390,455302,445151,10151
